掌权人,排名,排名变化,财富值_人民币_亿,财富值_美元,财富值变化,人物关系,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,性别,年龄,出生地_中文,籍贯_中文,常住地_中文,学历_中文,毕业院校_中文,毕业院校_英文,专业_中文,专业_英文
李小勤、徐梅钧,808,New,65.0,920.0,NEW,夫妇,匠心家居,Motomotion,江苏常州,Jiangsu,家具,Furnishing,先生,53,中国-浙江-杭州,中国-浙江-杭州,中国-江苏-常州,,,,,
李新炎、倪银英,808,132,65.0,920.0,0%,夫妇,中国龙工,Lonking,上海松江,Shanghai,重型工程用车,Heavy construction vehicles,先生,73,中国-福建-泉州,中国-福建-泉州,中国-上海,,,,,
励建立,808,-223,65.0,920.0,-35%,未知,科达利,Kedali,广东深圳,Guangdong,锂电池结构件,Industrial Machinery,先生,52,,,中国-广东-深圳,,,,,
廖杰远,808,132,65.0,920.0,0%,未知,微医,WeDoctor,浙江杭州,Zhejiang,医疗服务,Health Service,先生,未知,,,中国-浙江-杭州,,,,,
刘明辉,808,88,65.0,920.0,-7%,未知,中国燃气,China Gas,香港,Hong Kong,能源,Energy,先生,61,中国-香港,,中国-香港,,,,,
刘庆峰,808,-176,65.0,920.0,-33%,未知,科大讯飞,Iflytek,安徽合肥,Anhui,软件和信息技术服务业,Software and information technology services,先生,51,中国-安徽-宣城,,中国-安徽-合肥,博士,中科大,,,
刘先兵,808,New,65.0,920.0,NEW,未知,珂玛科技,Kema Tech,江苏苏州,Jiangsu,陶瓷材料,Manufacturing,未知,未知,,,江苏苏州,博士,美国康州大学,,,
刘修才,808,-223,65.0,920.0,-35%,家族,凯赛生物,Cathay,上海浦东,Shanghai,生物材料,Biomedicine,先生,67,,,中国-上海,,,,,
陆永华、毛彩虹,808,88,65.0,920.0,-7%,夫妇,林洋能源,Linyang Electronics,江苏南通,Jiangsu,太阳能,Green Energy,先生,61,中国-江苏-南通,中国-江苏-南通,中国-江苏-南通,,,,,
罗康瑞,808,53,65.0,920.0,-11%,家族,瑞安,Shui On,香港,Hong Kong,房地产,Estate Holding,先生,76,中国-香港,中国-香港,中国-香港,,,,,
吕培榕,808,53,65.0,920.0,-11%,未知,大帝,Dadi,福建泉州,Fujian,投资、房地产、服装,"Apparel, Investments, Real Estate",先生,65,中国-福建-泉州,,中国-福建-泉州,,,,,
明再远,808,282,65.0,920.0,18%,未知,新天然气,Xintai Gas,新疆乌鲁木齐,Xinjiang,天然气,Natural Gas,先生,61,中国-四川-德阳,中国-四川-德阳,中国-四川-德阳,,,,,
欧亚平,808,132,65.0,920.0,0%,未知,百仕达,Sinolink Worldwide,香港,Hong Kong,天然气、房地产,"Natural Gas, Real Estate",先生,62,中国-湖南-长沙,,中国-香港,本科,北京理工,,,
邱建林,808,53,65.0,920.0,-11%,未知,恒逸,Hengyi,浙江杭州,Zhejiang,化纤,Chemical fibres,先生,61,中国-浙江,,中国-浙江-杭州,硕士,,,,
邱敏秀,808,-420,65.0,920.0,-55%,家族,晶盛机电,Jingsheng Mechanical & Electrical Co,浙江绍兴,Zhejiang,机电设备,Equipment manufacturing,先生,79,,,中国-浙江-绍兴,博士,,,,
邱祥娟,808,53,65.0,920.0,-11%,未知,恒逸,Hengyi,浙江杭州,Zhejiang,化纤,Chemical fibres,先生,未知,中国-浙江,,中国-浙江-杭州,,,,,
邱奕博,808,53,65.0,920.0,-11%,未知,恒逸,Hengyi,浙江杭州,Zhejiang,化纤,Chemical fibres,先生,37,中国-浙江,,中国-浙江-杭州,,,,,
裘国根、骆奕,808,88,65.0,920.0,-7%,夫妇,重阳投资,Chongyang,上海浦东,Shanghai,投资,Investments,先生,55,中国-浙江-绍兴,中国-浙江-绍兴,中国-上海,本科,人大,,,
孙毅,808,-102,65.0,920.0,-24%,未知,浙富控股,Zhefu Holding,浙江杭州,Zhejiang,清洁能源装备,Hydropower equipment,先生,57,中国-浙江,,中国-浙江-杭州,硕士,,,,
王建沂,808,-495,65.0,920.0,-63%,未知,富通,Futong,浙江杭州,Zhejiang,光纤光缆,Fiber optic cable,先生,61,中国-浙江,,中国-浙江-杭州,,,,,
王文城,808,88,65.0,920.0,-7%,家族,大中,Dazhong,广东东莞,Guangdong,石材、房地产,"Stone, Real Estate",先生,未知,中国-广东,中国-广东,中国-广东-东莞,,,,,
温纯青、温瀚东,808,200,65.0,920.0,8%,父子,大百汇,Da Baihui,广东深圳,Guangdong,烟草、房地产、白酒,"Tobacco, Real Estate, Liquor",先生,53,中国-广东-梅州,中国-广东-梅州,中国-广东-深圳,,,,,
吴波,808,-243,65.0,920.0,-38%,家族,埃斯顿,Estun,江苏南京,Jiangsu,机械装备制造,Manufacturing,先生,70,中国-江苏-南京,中国-江苏-南京,中国-江苏-南京,硕士,,,,
吴昕阳,808,53,65.0,920.0,-11%,家族,新光三越,SKM,台湾台北,Taiwan,房地产,Real Estate,先生,未知,中国-台湾-台北,中国-台湾-新竹,中国-台湾-台北,,,,,
熊小川,808,5,65.0,920.0,-13%,未知,美好创亿,Mehow Innovative,广东深圳,Guangdong,医疗机械,Medical Devices,先生,58,,,中国-深圳,,,,,
徐旭东、徐若桐,808,-420,65.0,920.0,-55%,父女,旭升汽车技术,XuSheng Auto Technology,浙江宁波,Zhejiang,汽车零部件,Automobile parts,先生,54,,,中国-浙江-宁波,,,,,
姚俊良,808,5,65.0,920.0,-13%,未知,美锦能源,Meijing Energy,山西太原,Shanxi,煤炭,Coal,先生,71,,,中国-山西-太原,,,,,
詹国海,808,282,65.0,920.0,18%,未知,鑫海控股,Xinhai,河北沧州,Heibei,石油化工,Chemical,先生,56,,,中国-河北-沧州,,,,,
张波,808,53,65.0,920.0,-11%,未知,美团,Meituan,北京,Beijing,生活服务,Life Service,先生,未知,,,中国-上海,,,,,
张近东,808,-139,65.0,920.0,-28%,未知,苏宁,Suning,江苏南京,Jiangsu,零售、房地产,"Retail, real estate",先生,61,中国-江苏-南京,中国-安徽,中国-江苏-南京,本科,南京师范,南京师范大学,,
张思民、王劲松,808,5,65.0,920.0,-13%,夫妇,海王,Neptunus,广东深圳,Guangdong,医药、房地产,Pharmaceuticals,先生,62,中国-吉林-长春,,中国-广东-深圳,本科,哈工大,,,
张轩松,808,-53,65.0,920.0,-19%,未知,永辉,Yonghui Superstores,福建福州,Fujian,超市零售,Supermarket retailing,先生,53,中国-福建-福州,,中国-福建-福州,,,,,
折生阳,808,-243,65.0,920.0,-38%,未知,铂力特,Xi'An Bright,陕西西安,Shaanxi,金属增材制造,Additive Manufacturing,先生,69,中国-陕西-西安,,中国-陕西-西安,,,,,
钟志平,808,371,65.0,920.0,30%,未知,创科实业,TTI,香港,Hong Kong,消费品,Consumer Goods,先生,71,中国-澳门,,中国-香港,,,,,
周伟建,808,5,65.0,920.0,-13%,未知,美涂士,Maydos,广东广州,Guangdong,墙面保护装饰,Building Materials,先生,未知,,,中国-广东-广州,,,,,
朱敏、徐郁清,808,53,65.0,920.0,-11%,夫妇,赛伯乐,Cybernaut,浙江杭州,Zhejiang,投资,Investments,先生,76,中国-浙江-宁波,,中国-浙江-杭州,硕士,浙江农业、浙大,,,
宗艳民,808,5,65.0,920.0,-13%,未知,天岳先进,Sicc,山东济南,Shandong,半导体材料,Semiconductors,先生,60,,,中国-山东-济南,,,,,
褚健,859,-104,63.0,890.0,-21%,未知,中控技术,Supcon Technology,浙江杭州,Zhejiang,软件系统,SaaS,先生,61,,,中国-浙江-杭州,,,,,
樊铮,859,-388,63.0,890.0,-50%,未知,理想汽车,Li Auto,北京,Beijing,新能源汽车,E-cars,先生,45,中国-上海,,中国-北京,,,,,
黄关林,859,-46,63.0,890.0,-16%,未知,申洲针织,Shenzhou,浙江宁波,Zhejiang,纺织、服装,"Textiles, apparel",先生,58,中国-浙江,,中国-浙江-宁波,本科,浙江工业,,,
石毅峰,859,-388,63.0,890.0,-50%,未知,爱美客,Imeik,北京,Beijing,生物制药,Biotechnology,先生,50,中国-山西-晋中,中国-山西-晋中,中国-北京,,,,,
王斌,859,-51,63.0,890.0,-19%,未知,书亦餐饮,Shuyi,四川成都,Sichuan,餐饮连锁,Food & Beverages,先生,38,中国-湖南,,中国-四川-成都,,,,,
程先锋,864,-51,62.0,870.0,-17%,未知,亿帆鑫富,Yifan Xinfu Pharmaceutical,浙江杭州,Zhejiang,医药,Pharmaceuticals,先生,56,,,中国-浙江-杭州,硕士,,,,
戴珊,864,76,62.0,870.0,-5%,未知,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-commerce, fintech",先生,48,,,中国-浙江-杭州,本科,杭州电子科技,,,
石克荣,864,-3,62.0,870.0,-15%,未知,汇福,Hopefull,河北廊坊,Beijing,食品,Food,先生,67,中国-河北-廊坊,中国-北京,中国-河北-三河,,,,,
寿柏年,864,127,62.0,870.0,-2%,未知,绿城服务,Greentown,浙江杭州,Zhejiang,物业管理,Real estate,先生,62,中国-浙江-绍兴,,中国-浙江-杭州,本科,浙大,,,
吴泳铭,864,76,62.0,870.0,-5%,未知,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-commerce, fintech",先生,49,,,中国-浙江-杭州,,,,,
赵彤彤,864,-109,62.0,870.0,-23%,未知,华住,Home Inn,上海闵行,Shanghai,连锁酒店,Hotel chain ,先生,未知,,,中国-上海,,,,,
贾国龙,870,138,61.0,860.0,2%,未知,西贝,Xibei,北京,Beijing,餐饮,Restaurants,先生,57,中国-内蒙古-巴彦淖尔,中国-内蒙古-巴彦淖尔,中国-北京,本科,大连水产学院,,,
姜龙,870,New,61.0,860.0,NEW,未知,歌尔股份,GoerTek,山东潍坊,Shandong,声学及多媒体产品,Electronic Components,先生,50,,,中国-山东-潍坊,,,,,
徐观宝,870,-57,61.0,860.0,-19%,未知,传化,Chuanhua,浙江杭州,Zhejiang,化工、农业、投资,"Chemical, agriculture, Investments",先生,67,中国-浙江-杭州,,中国-浙江-杭州,,,,,
尤金焕,870,138,61.0,860.0,2%,未知,华峰,Huafeng ,浙江温州,Zhejiang,化工、铝业、投资,"Chemical, aluminum, Investments",先生,未知,,,中国-浙江-温州,,,,,
赵凯,870,54,61.0,860.0,-10%,未知,成都环球世纪,Chengdu International Exhibition & Convention Center,四川成都,Sichuan,投资、房地产,"Investments, Real Estate",先生,未知,,,中国-四川-成都,,,,,
蔡开云,875,-120,60.0,850.0,-25%,未知,稻花香,Hubei Daohuaxiang,湖北宜昌,Hubei,白酒,Liquor,先生,52,,,中国-湖北-宜昌,,,,,
陈睿,875,133,60.0,850.0,0%,未知,哔哩哔哩,Bilibili,上海杨浦,Shanghai,视频弹幕网站,Video barrage,先生,46,中国-四川-成都,中国-四川-成都,中国-上海,本科,成都信息工程大学,,,
杜伟民,875,-240,60.0,850.0,-37%,未知,康泰生物,Biokangtai,广东深圳,Guangdong,生物医药,Biotech,先生,61,中国-江西-南昌,中国-江西-南昌,中国-广东-深圳,,,暨南大学,,
辜侯天仪,875,65,60.0,850.0,-8%,家族,台泥,Koos Group,台湾台北,Taiwan,水泥,Cement,先生,未知,,,中国-台湾-台北,,,,,
胡鹍辉,875,304,60.0,850.0,20%,未知,亚辉龙,YHLO,广东深圳,Guangdong,生物科技,Biotech,先生,33,中国-广东-深圳,,中国-广东-深圳,,,,,
黄金祥、赵启荣,875,-174,60.0,850.0,-33%,夫妇,安徽广信,Anhui Guangxin,安徽宣城,Anhui,农药化肥、房地产,"Fertilizer, real estate",先生,59,中国-安徽-宣城,,中国-安徽-宣城,,,,,
金鑫,875,21,60.0,850.0,-14%,未知,大金重工,Dajin Heavy Industry,辽宁阜新,Liaoning,钢结构产品,Steel Products,先生,57,,,中国-辽宁-阜新,,,,,
柯利明,875,New,60.0,850.0,NEW,未知,中国儒意,China Ruyi,香港,Hong Kong,娱乐,Entertainment,未知,未知,,,北京,硕士,澳大利亚格里菲斯大学,,,
赖国贵,875,124,60.0,850.0,-3%,家族,春风控股集团,Cfmoto,浙江杭州,Zhejiang,摩托车,Motorcycles,先生,60,,,中国-浙江-杭州,,,,,
李杰,875,-339,60.0,850.0,-45%,未知,极兔速递,J&T Global Express,印度尼西亚雅加达,Indonesia,物流快递,Logistics,先生,49,中国-四川,中国-四川,印度尼西亚-雅加达,,,,,
李凯莉,875,272,60.0,850.0,13%,家族,龙岩,Lungyen,台湾新北,Taiwan,殡葬服务,Life Services,女士,未知,,,中国-台湾-新北,,,,,
李平,875,-62,60.0,850.0,-20%,未知,天高,Teamgo,广东广州,Guangdong,矿业开发、冶金贸易,"Mining, Metallurgy",先生,60,中国-江西-赣州,中国-江西-赣州,中国-广东-广州,硕士,合肥工业,,,
李咏怡,875,133,60.0,850.0,0%,家族,粤丰环保,Canvestt,广东东莞,Guangdong,环保,Environmental Protection,女士,未知,,,中国-广东-东莞,,,,,
梁桐灿,875,-62,60.0,850.0,-20%,未知,宏宇,Hongyu,广东佛山,Guangdong,建筑陶瓷,Ceramics,先生,未知,中国-广东-佛山,中国-广东-佛山,中国-广东-佛山,,,,,
刘宝林,875,-62,60.0,850.0,-20%,未知,九州通,Jointown,湖北武汉,Hubei,医药流通,Pharmaceutical distribution,先生,71,中国-湖北-孝感,,中国-湖北-武汉,,,,,
楼天城,875,133,60.0,850.0,0%,未知,小马智行,Pony.ai,广东广州,Guangzhou,自动驾驶技术,Automatic Driving Technology,先生,未知,,,美国,,,,,
鲁楚平、彭惠,875,65,60.0,850.0,-8%,夫妇,大洋电机,Broad-Ocean Motor,广东中山,Guangdong,工业电机,Electrical Equipment,先生,59,中国-湖北-孝感,中国-湖北-孝感,中国-广东-中山,本科,华南理工,,,
吕绍林、程彩霞,875,-62,60.0,850.0,-20%,夫妇,博众精工,Bozhon Precision,江苏苏州,Jiangsu,自动化设备,Pharmaceuticals,先生,51,中国-湖南-邵阳,中国-湖南-邵阳,中国-江苏-苏州,,,,,
缪双大、缪文彬,875,-14,60.0,850.0,-18%,父子,双良,Shuangliang,江苏无锡,Jiangsu,空调设备,Air Conditioning,先生,73,中国-江苏-无锡,中国-江苏-无锡,中国-江苏-无锡,,,,,
沈波,875,215,60.0,850.0,9%,未知,分布式资本,Fenbushi,上海虹口,Shanghai,投资,Investments,先生,61,,,中国-上海,,,,,
苏如春,875,65,60.0,850.0,-8%,家族,华邦,Huabang,广东广州,Guangdong,房地产、建筑、投资,"Real Estate,Infrastructure,Investments",先生,56,,,中国-广东-广州,,,,,
孙中伟、温美婵,875,215,60.0,850.0,9%,夫妇,华宝新能,Hello Tech,广东深圳,Guangdong,便携储能电池、太阳能,Portable Batteries,先生,46,中国-山东,,中国-广东-深圳,,,,,
童文红,875,116,60.0,850.0,-5%,未知,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-commerce, fintech",先生,54,,,中国-浙江-杭州,,,,,
王佳、严立,875,-290,60.0,850.0,-40%,夫妇,启明星辰,Venustech,北京,Beijing,网络安全,Cyber Security,先生,55,中国-云南-昆明,,中国-北京,硕士,复旦、宾夕法尼亚,,,
王建东,875,-120,60.0,850.0,-25%,未知,中建融东,CSCEC Rongdong,河北邯郸,Hebei,钢铁,Steel,先生,52,中国-河北-邯郸,中国-河北-邯郸,中国-河北-邯郸,,,,,
王明鎏,875,-206,60.0,850.0,-33%,未知,毛球科技,Tomorrow,四川成都,Sichuan,投资、区块链、游戏,"Investments, Blockchain, Gaming",先生,41,中国-四川-成都,,中国-四川-成都,硕士,加拿大卑诗大学（UBC）、纽约大学,,,
王铭祥、周一峰,875,-14,60.0,850.0,-18%,夫妇,东华能源,Oriental Energy,江苏南京,Jiangsu,石油化工,Petrochemicals,先生,46,中国-江苏-南通,中国-江苏-南通,中国-江苏-南京,硕士,北京中医药、南京理工,,,
王维东、许小菊,875,21,60.0,850.0,-14%,夫妇,赢合科技,Yinghe Technology,广东深圳,Guangdong,自动化设备,Industrial Equipment,先生,47,中国-甘肃-酒泉,,中国-广东-深圳,,,,,
王霄锟、刘洧宏,875,-487,60.0,850.0,-59%,夫妇,茶百道,ChaPanda,四川成都,Sichuan,餐饮连锁,Food & Beverages,先生,41,,,中国-四川-成都,,,,,
王跃旦,875,282,60.0,850.0,15%,家族,富佳实业,Furja,浙江宁波,Zhejiang,家用电器,Home appliances ,先生,71,,,中国-浙江-宁波,,,,,
王泽龙,875,-169,60.0,850.0,-29%,未知,中核钛白,CNNC,广东广州,Guangdong,钛白粉,Titanium Dioxide,先生,未知,,,中国-广东-广州,,,,,
谢剑辉,875,193,60.0,850.0,3%,未知,富兴,Fuxing,湖南长沙,Hunan,汽车服务，产业园区,"Real estate, car sales, Investments",先生,未知,,,中国-湖南-长沙,,,,,
徐进,875,-67,60.0,850.0,-23%,未知,口子窖,Kouzi Distillery,安徽淮北,Anhui,白酒,Liquor,先生,59,,,中国-安徽-淮北,,,,,
徐少春,875,-290,60.0,850.0,-40%,未知,金蝶国际,Kingdee,广东深圳,Guangdong,财务软件,Financial Software,先生,61,中国-湖南-益阳,,中国-广东-深圳,本科,东南,,,
杨受成,875,-14,60.0,850.0,-18%,家族,英皇,Emperor,香港,Hong Kong,房地产,Estate Holding,先生,80,中国-香港,中国-香港,中国-香港,,,,,
袁莉萍,875,-206,60.0,850.0,-33%,未知,康泰生物,Kangtai Biological,广东深圳,Guangdong,生物医药,Biotech,先生,53,,,中国-广东-深圳,,,,,
张清森,875,New,60.0,850.0,NEW,未知,绿联科技,Ugreen,广东深圳,Guangdong,电子配件,Digital Products,未知,未知,,福建莆田,广东深圳,本科,仰恩大学,,,
张勇,875,112,60.0,850.0,-6%,未知,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-commerce, fintech",先生,未知,,,中国-浙江-杭州,本科,上财,,,
张重兴,875,New,60.0,850.0,NEW,家族,台湾精锐,Apex Dynamics,台湾台中,Taiwan,工业机械,Industrial Machinery,未知,未知,,,台湾台中,,,,,
赵满堂,875,21,60.0,850.0,-14%,家族,盛达,Shengda,甘肃兰州,Gansu,矿业、酒店,"Mining, Hotels",先生,64,中国-甘肃-天水,,中国-甘肃-天水,,,,,
赵延平、杨云,875,65,60.0,850.0,-8%,夫妇,华测导航,Huace,上海青浦,Shanghai,卫星导航,GPS,先生,56,中国-吉林,中国-吉林,中国-上海,本科,浙大,,,
甄荣辉,875,133,60.0,850.0,0%,未知,51job,51job,上海静安,Shanghai,互联网服务,Internet Services,先生,62,中国-香港,,中国-上海,本科,香港中文大学,,,
周旭明,875,-71,60.0,850.0,-24%,家族,科思股份,Cosmos,江苏南京,Jiangsu,化学品原料,Chemical raw materials,先生,51,,,中国-江苏-南京,,,,,
陈泽民,918,-107,59.0,830.0,-23%,家族,三全食品,Sanquan Food,河南郑州,Henan,食品,Food,先生,81,中国-重庆-江津,,中国-河南-郑州,本科,,,,
刘德,918,New,59.0,830.0,NEW,未知,小米,Xiaomi,北京,Beijing,北京,IoT,先生,未知,,,中国-北京,硕士,北京理工大学、美国加州亚帕萨迪Art Center College of Design,,,
姚劲波,918,90,59.0,830.0,-2%,未知,58同城,58,北京,Beijing,生活服务,Life Service,先生,48,中国-湖南-益阳,,中国-北京,本科,中国海洋,,,
张亚、周文梅,918,-333,59.0,830.0,-41%,夫妇,国光电气,Guoguang Electric,四川成都,Sichuan,微波电子器件,Electronic device,先生,55,,,中国-四川-成都,,,,,
赵鸿飞,918,-397,59.0,830.0,-49%,未知,中科创达,Thunder,北京,Beijing,智能终端操作系统,Intelligent Terminal Operating System,先生,50,,,中国-北京,硕士,北京理工,,,
吕建明,923,-217,58.0,820.0,-32%,未知,通策医疗,Top Choice Medical,浙江杭州,Zhejiang,医疗器械,Medical devices,先生,59,中国-浙江,,中国-浙江-杭州,硕士,浙大,,,
申东日,923,-175,58.0,820.0,-29%,家族,朗姿,Lancy,北京,Beijing,服装,Apparel,先生,52,中国-黑龙江-绥化,中国-黑龙江-江绥化,中国-北京,,,,,
王德根、张强,923,-254,58.0,820.0,-36%,夫妇,德康农牧,Dekon,四川成都,Sichuan,畜牧业、教育,Animal Husbandry,先生,53,中国-四川,,中国-四川-成都,,,,,
吴城,923,-110,58.0,820.0,-23%,未知,国城,Guocheng,北京,Beijing,矿业,Mining,先生,未知,,,中国-北京,,,,,
吴凯庭,923,-217,58.0,820.0,-32%,家族,万利达,Malata,福建漳州,Fujian,电子信息产品,Information technology,先生,未知,中国-福建-漳州,,中国-福建-漳州,,,,,
谢识才,923,85,58.0,820.0,-3%,家族,博威合金,Boway Alloy Material,浙江宁波,Zhejiang,合金材料,Alloy Materials,先生,63,中国-浙江-杭州,,中国-浙江-宁波,本科,,,,
余海军,923,17,58.0,820.0,-11%,未知,宝利德,Baolide,浙江杭州,Zhejiang,汽车销售,Car sales,先生,50,中国-浙江-绍兴,,中国-浙江-杭州,本科,,,,
周华松、吴文利,923,256,58.0,820.0,16%,夫妇,松霖科技,Solex High-tech Industries,福建厦门,Fujian,淋浴设备,Shower equipment,先生,58,,,中国-福建-厦门,,,,,
周文、郭艺群,923,-217,58.0,820.0,-32%,夫妇,普利特,Pret Composites,上海青浦,Shanghai,塑料制造、汽车配件,"Plastics manufacturing, automotive parts",先生,59,,,中国-上海,博士,工商管理,,,
陈学利、陈林,932,-347,57.0,800.0,-43%,父子,威高,Wego,山东威海,Shandong,医疗器械,Medical devices,先生,73,,中国-山东-威海,中国-山东-威海,,,,,
苏增福,932,59,57.0,800.0,-10%,家族,苏泊尔,Supor,浙江杭州,Zhejiang,厨具、投资,"Kitchen tools, Investments",先生,84,中国-浙江-台州,,中国-浙江-杭州,,,,,
王富济,932,-119,57.0,800.0,-24%,未知,片仔癀,Pientzehuang Pharmaceutical,福建漳州,Fujian,医药,Pharmaceuticals,先生,未知,,,中国-福建-漳州,,,,,
吴惠芳,932,8,57.0,800.0,-12%,未知,永钢,Yonggang,江苏苏州,Jiangsu,钢铁,Iron & Steel,先生,未知,中国-江苏-,中国-江苏,中国-江苏-苏州,,,,,
吴永华,932,8,57.0,800.0,-12%,未知,安踏,Anta,福建厦门,Fujian,体育用品,Sportswear,先生,54,中国-福建,,中国-福建-厦门,,,,,
钟培峰,932,-177,57.0,800.0,-29%,家族,晶晨股份,Amlogic,上海浦东,Shanghai,电子,Semiconductor,先生,61,,,中国-上海,硕士,乔治亚理工,,,
周俊杰,932,76,57.0,800.0,-5%,未知,银都股份,Yindu Kitchen Equipment,浙江杭州,Zhejiang,餐饮设备,Industrial equipment,先生,56,,,中国-浙江-杭州,,,,,
刘姗姗,939,141,56.0,790.0,0%,未知,摩尔线程,Moore Thread,北京,Beijing,半导体,Semiconductors,女士,未知,,,中国-北京,,,,,
陈妙林,940,150,55.0,770.0,0%,未知,开元旅业,New Century Tourism,浙江杭州,Zhejiang,房地产,Real estate,先生,72,中国-浙江-杭州,,中国-浙江-杭州,,,,,
陈清州、翁丽敏,940,-44,55.0,770.0,-21%,夫妇,海能达,Hytera,广东深圳,Guangdong,专业无线通信设备,Communications Equipment,先生,59,中国-福建-泉州,,中国-广东-深圳,,,,,
陈育宣、林德英,940,68,55.0,770.0,-8%,夫妇,电连技术,Electric Connector,广东深圳,Guangdong,电子元件连接器,Electronic Components,先生,58,中国-江西-九江,中国-江西-九江,中国-广东-深圳,,,,,
陈卓贤,940,68,55.0,770.0,-8%,家族,雅居乐,Agile,广东广州,Guangdong,投资、房地产,"Investments, Real Estate",先生,57,中国-广东-中山,中国-广东-中山,中国-广东-广州,,,,,
邓颖忠,940,-185,55.0,770.0,-31%,家族,中顺洁柔,Zhongshun,广东中山,Guangdong,生活用纸,Household Products,先生,73,中国-广东,中国-广东,中国-广东-中山,,,,,
郭振宇、KevinGuo,940,-469,55.0,770.0,-56%,父子,贝泰妮,Botanee,云南昆明,Yunnan,护肤品,Skincare,先生,61,中国-云南-昆明,,中国-云南-昆明,,,,,
何德佑,940,New,55.0,770.0,NEW,未知,嘉泽端子,Lotes,台湾基隆,Taiwan,电子元件,Electronic Components,未知,未知,,,台湾基隆,,,,,
何亚民,940,-79,55.0,770.0,-25%,家族,利君股份,Leejun Industrial,四川成都,Sichuan,机械制造,Machinery manufacturing ,先生,67,中国-四川,中国-四川,中国-四川-成都,,,,,
花轩德,940,-375,55.0,770.0,-48%,家族,中贝九洲,Zonebanner Jiuzhou,浙江台州,Zhejiang,医药,Pharmaceuticals,先生,81,中国-浙江-台州,,中国-浙江-台州,,,,,
黄炳文,940,-44,55.0,770.0,-21%,家族,东风印刷,Dongfeng Printing,广东汕头,Guangdong,印刷,Printing,先生,70,,中国-广东-汕头,中国-广东-汕头,,,,,
黄善兵,940,239,55.0,770.0,10%,家族,捷捷微电,JieJie Microelectronics,江苏南通,Jiangsu,半导体器件,Semiconductor device,先生,68,,,中国-江苏-南通,,,,,
黄婉茹,940,68,55.0,770.0,-8%,未知,联泰,Lian Tai,广东汕头,Guangdong,基础建设、房地产,"Infrastructure, Real Estate",先生,未知,,,中国-广东-汕头,,,,,
江淦钧,940,0,55.0,770.0,-15%,未知,索菲亚,Suofeiya,广东广州,Guangdong,家具,Furniture,先生,60,中国-广东-广州,,中国-广东-广州,,,,,
姜桂廷、宋桂花,940,-185,55.0,770.0,-31%,夫妇,景津环保,Jingjin,山东德州,Shandong,设备制造,Manufacturing,先生,66,,,中国-山东-德州,本科,,,,
蒋锦志,940,150,55.0,770.0,0%,未知,景林资产,Greenwoods,上海浦东,Shanghai,投资,Investments,先生,未知,,,中国-上海,本科,武大,,,
金磊,940,-355,55.0,770.0,-45%,未知,长春高新,Changchun High-tech Industries,吉林长春,Jilin,生物制药,Biopharmaceuticals,先生,59,,,中国-吉林-长春,,,,,
黎经华,940,68,55.0,770.0,-8%,未知,罗浮宫家居,Louvre,广东佛山,Guangdong,家具零售,Furniture,先生,62,,,中国-广东-佛山,,,,,
李建华、李晓奇,940,68,55.0,770.0,-8%,父女,威华,Weihua,广东广州,Guangdong,地板,Building Materials,先生,71,中国-广东-梅州,中国-广东-梅州,中国-广东-广州,,,,,
李文美、王继华,940,68,55.0,770.0,-8%,夫妇,万孚生物,Wondfo Biotech,广东广州,Guangdong,快速诊断试剂,Biotech,先生,62,中国-吉林-长春,,中国-广东-广州,硕士,吉大,,,
李学凌,940,150,55.0,770.0,0%,未知,欢聚时代,YY,广东深圳,Guangdong,游戏、语音软件,Gaming,先生,51,,,中国-广东-深圳,,,,,
李缜、李晨,940,-16,55.0,770.0,-19%,父子,国轩高科,Anhui Guoxuan,安徽合肥,Anhui,电池、房地产、影视、投资,"Batteries, Real estate, screen culture",先生,60,,,中国-安徽-合肥,,,,,
林海川,940,-185,55.0,770.0,-31%,家族,宏川,Great River Smarter Logistics,广东东莞,Guangdong,仓储物流,Logistics,先生,52,中国-广东-东莞,中国-广东-东莞,中国-广东-东莞,硕士,,,,
吕大龙,940,68,55.0,770.0,-8%,未知,韦尔股份,Willsemi,上海浦东,Shanghai,投资,Semiconductors,先生,未知,,,中国-北京,,,,,
马国林,940,217,55.0,770.0,6%,未知,卫星石化,Zhejiang Satellite Petro Chemical,浙江嘉兴,Zhejiang,化工,Chemicals,先生,60,中国-浙江,,中国-浙江-嘉兴,,,,,
孟庆南,940,202,55.0,770.0,2%,家族,武汉凡谷,Wuhan Fingu,湖北武汉,Hubei,通信设备元件,Communications components ,先生,66,中国-湖北,,中国-湖北-武汉,硕士,,,,
潘龙泉,940,-185,55.0,770.0,-31%,未知,泉峰,Chervon,江苏南京,Nanjing,电动工具,Electric Tools,先生,61,,,中国-江苏-南京,,,,,
彭浩,940,207,55.0,770.0,4%,未知,信维通信,Sunway Communication,广东深圳,Guangdong,通信部件,Electronic Components,先生,57,中国-陕西-咸阳,,中国-广东-深圳,硕士,,,,
